Diagram-ID,Image-Path,Modified-Alt-Text
1,/image1.png,"Graph of exposure wavelength versus resolution range. Line is drawn from the G line to the immersion points, and then down to the EUV and DP (double patterning) line. The x-axis, marked as the resolution range (measured in nanometers), spans from 10,000 nm down to 1 nm, while the y-axis, denoting exposure wavelength (also measured in nanometers), ranges from 8 nm up to 800 nm. Over time, the industry has progressively shifted from the G Line at approximately 436 nm, through i-Line at 365 nm, to various forms of deep ultraviolet (DUV) lithography. Immersive and dry techniques utilizing KrF (248 nm) and ArF (193 nm) wavelengths have pushed the boundaries of minimum feature size downwards. As these methods approached their limits, immersion lithography emerged around these wavelengths, further enhancing resolution by changing the medium between the lens and wafer to water, consequently increasing the effective numerical aperture. A compelling deviation occurs when the graph dives steeply towards the left as it transitions from ArF immersion to extreme ultraviolet (EUV) lithography, which employs a significantly lower wavelength of 13.5 nm. However, moving into the EUV regime demanded overcoming extensive technical hurdles related to light source power, optical system precision, photoresist sensitivity, and mask defectivity. Numerical aperture indicates how tightly the optics can focus light."
2,/image2.png,"The electromagnetic spectrum is depicted, showing the range of electromagnetic waves from long-wavelength, low-frequency radio waves to short-wavelength, high-frequency gamma rays, with a visible light region highlighted in the center. Both axes are logarithmically scaled to accommodate the broad range from long waves with frequencies around 10^3 Hz and wavelengths upwards of 10^6 meters, to gamma rays with frequencies as high as 10^24 Hz and wavelengths down to 10^-15 meters. Within this framework, various bands are identified, including radio waves (long waves and AM (amplitude modulation)/FM/TV), microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays. Analyzing the interactions, the inverse relationship between wavelength and frequency is crucial for understanding electromagnetic wave behaviors. For instance, long radio waves possess lower frequencies and correspondingly larger wavelengths, facilitating long-distance communication by diffracting around obstacles. Conversely, gamma rays, characterized by extremely short wavelengths and high frequencies, are highly energetic and capable of penetrating most materials, making them useful in medical imaging yet hazardous due to their ionizing radiation. A peculiar observation within the spectrum is the relatively narrow band of visible light (approximately 4 x 10^14 to 8 x 10^14 Hz or 400 nm to 700 nm wavelength) that signifies the range perceivable by the human eye. This band, nestled within a minuscule fraction of the entire spectrum, stands out because of its biological significance and the way it demarcates the boundaries between non-ionizing and ionizing radiation."
3,/image3.png,"A detailed schematic representation of an Extreme Ultraviolet (EUV) Lithography Exposure System, illustrating its components and functionality. The diagram is segmented into various parts, clearly labeled to indicate their roles. It features a reflective mask, EUV source collector, and illuminator optics, all aligned to focus EUV radiation onto a silicon wafer, specifically stated to be 300 mm in diameter. The system operates using 13.5 nm radiation, which is crucial for achieving high-resolution patterns necessary for advanced semiconductor manufacturing. Key annotations highlight that the optics are entirely reflective and that the entire optical pathway functions within a vacuum environment to prevent interference and ensure accuracy. The organization of this exposure system emphasizes the integration of precise optics in lithography."
4,/image4.png,"The graph displays the cumulative shift of pulsar-orbital time in seconds on the vertical axis against the year on the horizontal axis ranging from 1975 to 2005. The data points are marked with error bars and follow a smooth downward-curving line illustrating a trend of increasing negative cumulative shift over time. The line labeled "General Relativity prediction" closely follows the data points indicating consistency between observed orbital decay and theoretical predictions. The "Line of zero orbital decay" is displayed above the data points and prediction line delineating the lack of orbital decay. The primary finding is that the observed data aligns well with the General Relativity prediction reinforcing the theory's validity in describing the decay of orbits over time."
5,/image5.png,"Diagram shows five 2‑D crystal lattice (Bravais) types as unit cells with lattice vectors a1 and a2 and the angle γ between them. Each cell also marks its symmetry (mirror lines and rotation axes). Here, an “n‑fold rotation” means the pattern looks the same after a rotation of 360°/n. Oblique: a1 and a2 at an arbitrary angle (no right angles), with the least symmetry. Rectangular: a1 ⟂ a2 (right angles) with 2‑fold rotation symmetry. Centered rectangular: rectangular cell with an extra lattice point at the center, giving additional symmetry compared to simple rectangular. Square: equal sides with 4‑fold rotation symmetry (invariant under 90° turns). Hexagonal: a1 and a2 at 60°/120° with 6‑fold rotation symmetry."
6,/image6.png,"The illustration presents varieties of crystal lattice structures: cubic body-centered (bcc (body-centered cubic)), cubic face-centered (fcc (face-centered cubic)), and hexagonal. Each structure is characterized by a distinct arrangement of atoms, represented by spheres, and the connecting lines indicate bonds within the lattice. The bcc structure features atoms at each corner of a cube and an additional atom at the center of the cube. This configuration, common in elements such as iron (Fe), vanadium (V), niobium (Nb), and chromium (Cr), allows for efficient packing density and significant metallic bonding interactions, particularly enhancing its structural strength. In contrast, the fcc structure places atoms at each cube corner and at the centers of each cube face, known for its close-packed nature. Metals such as aluminum (Al), nickel (Ni), silver (Ag), copper (Cu), and gold (Au) often crystallize in this form. The fcc structure provides even greater packing efficiency and is associated with superior ductility and conductivity, attributed to the dense atomic arrangement which allows atoms to slide past each other more easily under stress. The hexagonal lattice, depicted with atoms at each corner of the hexagonal base and additional ones inside the volume, is prevalent in materials like titanium (Ti), zinc (Zn), magnesium (Mg), and cadmium (Cd). This hexagonal close-packed (hcp) structure promotes a coordination number of twelve, emphasizing close atomic packing and resulting in high strength but less ductility compared to the fcc."
7,/image7.png,"Two rays hitting different planes at the same angle. They arrive parallel and reflect parallel. The path difference is equal to 2 multiplied by D multiplied by sin(theta) where D is the distance between planes."
8,/image8.png,"The illustration depicts a conceptual representation of electromagnetic induction. At the center, a circular loop is shown, marked with a blue line that outlines its shape. Arrows pointing upward denote an increasing magnetic field, labeled as 𝐵(𝑡), suggesting a change over time. A small positive and negative sign indicates electrical polarity, while a zigzag line represents a resistor connected to the loop. An arrow on one side illustrates the direction of induced current, labeled 𝐼, which flows in response to the changing magnetic field, and another arrow indicates the resultant induced magnetic field 𝐵."
9,/image9.png,"The diagram illustrates a fundamental concept in electromagnetism, showcasing a magnetic field generated between a north (N) and a south (S) pole of a magnet, positioned adjacent to two conductive plates. The key elements include the orientation of the magnetic field lines that curve around the magnet, indicating the direction of magnetic flux, and the representation of the angle 𝜓, which signifies its relationship to the distance 𝑦 from the plates. The circuit connected to the magnet suggests a scenario where variations in the magnetic field could induce an electric current. The use of blue shading likely denotes areas of magnetic influence or the presence of a magnetic field, while the arrows imply the direction of force or flow. This configuration reveals the principles of electromagnetic induction, highlighting how changes in magnetic fields can affect electrically conductive materials."
10,/image10.png,"The diagram illustrates the principles of electromagnetic force acting on a current-carrying conductor within a magnetic field. Key elements include a resistor labeled 'R,' a current 'I' flowing through the conductor indicated by an arrow, and a magnetic field 'B' represented with circles and crosses indicating field direction. Axes are marked along the horizontal (x) and vertical (y) dimensions, with relevant symbols showing the flow of current and the resulting magnetic force 'F_m' acting on the conductor. The interrelationship between current and magnetic fields is emphasized, highlighting the dynamics of forces involved when a conductor moves with velocity 'u' in the magnetic field. This representation elucidates the foundational concept of electromagnetism, demonstrating how electric currents interact with magnetic fields to produce motion."
11,/image11.png,"The diagram illustrates a magnetic circuit comprising a loop with defined parameters, including a conductive coil and associated currents. The central element is a circular loop with winding numbers 𝑁1 and 𝑁2 labeled on opposite sides, indicating the coil turns connected to voltage sources 𝑉1 and 𝑉2. The radius of the loop is marked as 𝑟𝑜=10cm. An arrow within the loop indicates the direction of current 𝑖1(𝑡), suggesting the variable nature of the current over time. The diagram helps to analyze electromagnetic behavior, facilitating calculations of magnetic fields, inductance, and related phenomena in circuits. Key elements like the coil's orientation and current direction reveal potential trends in magnetic flux and illustrate the relationships governing electromagnetic theory."
12,/image12.png,"The diagram illustrates a magnetic circuit comprising a loop with defined parameters, including a conductive coil and associated currents. The central element is a circular loop with winding numbers 𝑁1 and 𝑁2 labeled on opposite sides, indicating the coil turns connected to voltage sources 𝑉1 and 𝑉2. The radius of the loop is marked as 𝑟𝑜=10cm. An arrow within the loop indicates the direction of current 𝑖1(𝑡), suggesting the variable nature of the current over time. The diagram helps to analyze electromagnetic behavior, facilitating calculations of magnetic fields, inductance, and related phenomena in circuits. Key elements like the coil's orientation and current direction reveal potential trends in magnetic flux and illustrate the relationships governing electromagnetic theory."
13,/image13.png,"On the left side, a circuit having a voltage source 'V' and resistor 'R'. On the right side, a toroid wrapped with current carrying 'N' turns. The voltage 'V' and current 'I' of an electric circuit are equivalent to Magneto motive force 'F' and magnetic flux 'shi' of a magnetic circuit, respectively."
14,/image14.png,"The diagram displays a representation of a helical structure, characterized by a series of spiraling lines that denote magnetic field lines, illustrated in black, along a central axis depicted in green. The helical lines are numbered sequentially from 1 to N, suggesting multiple loops or windings around the axis. Key equations are presented in green text, where 𝜓=𝐵⋅𝑆 signifies a relationship involving magnetic flux and surface area, while 𝜆=𝑁𝜓 indicates a dependence on the number of loops. The diagram emphasizes the geometrical and physical relationships governing helical magnetic fields, underscoring the interplay between intensity and field configuration."
15,/image15.png,"A toroid has current carrying conductors in both inner and outer radius. The current (marked in red) is flowing into the page for the conductors at outer radius. The current is flowing out of the page for the conductors at the inner radius. The magnetic field 'B' (marked in green) is flowing inside the toroid in anti-clockwise direction."
16,/image16.png,"This diagram illustrates the arrangement of a conducting medium with elements represented in a 3D coordinate system. The horizontal axis (w) signifies the width of the conductive sections, while the vertical axis (h) represents their height, and the z-axis points upward. The boxes, marked in red, indicate regions where electric currents (I) flow, with the direction of the current denoted by arrows. The green circles and crosses symbolize the distribution of charge carriers within the conductive material, likely indicating the movement of electrons. Additionally, the presence of a magnetic field (B) is highlighted, implying interactions between the current and the field."
17,/image17.png,"The diagram illustrates a helical coil, showing its structure in a three-dimensional perspective. Key elements include the dimensions labeled as 𝑑 for diameter and 𝑧 indicating the axial direction, indicating how the coil extends in space. There are also markings for 𝑁 representing the number of turns, and 𝑝 defined as the pitch, which is the distance between successive turns. The light blue color of the coil emphasizes its three-dimensionality and spiraling form."
18,/image18.png,"The illustration presents two distinct scenarios related to electromagnetic fields and their behavior concerning closed surfaces. On the left, the diagram represents the electric field around a positive charge (+Q), signifying that the net electric flux through the closed surface is equal to the total charge enclosed, as indicated by the expression Ψ = Q. The field lines emanate outward from the charge, clearly showing the directional flow and density of the electric field. On the right, the illustration depicts a magnetic field around a closed surface with no enclosed magnetic charge (N and S denote a magnetic dipole), where the net magnetic flux is represented as Ψ = 0, indicating that magnetic field lines do not start or end within the surface. Both diagrams utilize arrows to communicate the direction of field lines, emphasizing the divergence of electric fields and the absence of magnetic monopoles."
19,/image19.png,"The horizontal ground on which the weightlifter stands is labeled “y equals 0.” The motion of barbell lift at three positions is shown. In the final position, the barbell is right above the lifter’s head with arms fully extended vertically. In this position, two arrows point from the center of the barbell: vector F subscript weightlifter points vertically upward along the vertical axis, and vector w equals vector F subscript gravity points vertically downward, also along the vertical axis. The vertical distance between the ground and the bottom of the barbell is h."
20,/image20.png,"Two opposite poles of two different magnets are placed near to each other. The magnetic flux density 'B' (marked in green) is coming out of north pole and entering into the south pole. There is conductor in between the opposite magnetic pole, carrying a current 'I' (marked in red). The magnetic force 'Fm' is acting downward, perpendicular to the magnetic flux density."
21,/image21.png,"Two current flowing loops (indicated as '1' and '2') are placed closely. A vector line 'R21' is connecting two differential elements from these two separate loops."
22,/image22.png,"On left side, a rectangular loop carrying a current 'I' in the magnetic flux density 'B' (marked in blue). The length and width of the rectangular loop are 'L' and 'W', respectively. On right side, the width of the rectangular loop is at an angle with the magnetic flux density 'B' (marked in blue). The forces are acting perpendicular to the flux density 'B'."
23,/image23.png,"The image represents a three-dimensional coordinate system illustrating spherical coordinates, characterized by the radius 𝑟, polar angle 𝜃, and azimuthal angle 𝜙. Key axes are labeled: the x-axis extends horizontally, the y-axis is perpendicular to it, and the z-axis extends vertically. A circular shape, marked in blue, signifies the plane where the angles 𝜃 and 𝜙 are defined, while dashed lines represent the projection of these coordinates onto the respective axes. This system emphasizes the relationship between the spherical coordinates and their Cartesian counterparts, highlighting how points in space can be described through varying combinations of 𝑟, 𝜃, and 𝜙."
24,/image24.png,"Nine panels (a–i) illustrate one full cycle of simple harmonic motion for a horizontal spring–block system. A block on the right is attached to a spring fixed to a wall on the left. A horizontal position line is labeled x = −A, x = 0 (equilibrium), and x = +A. Long arrows represent the larger‑magnitude vector and short arrows the smaller‑magnitude vector; arrows are labeled for spring force F and velocity v. Stage 1 (starting stretched at +A): v = 0 at the turning point; the spring force points left (toward equilibrium). The block accelerates left. Stage 2 (moving toward equilibrium): as x approaches 0, the restoring force decreases in magnitude while speed increases; at x = 0, F = 0 and v is maximum. Stage 3 (compressed at −A): v = 0 at the opposite turning point; the spring force points right. The block accelerates right back toward equilibrium. Stage 4 (returning): the pattern repeats as it passes x = 0 again (v maximum, F = 0) and returns to x = +A."
25,/image25.png,"A magnet bar is placed in a magnetic field density 'B' (marked in blue). Two forces are acting on opposite direction at two poles of the magnet bar. The torque is trying to align the bar in the direction of the applied magnetic field."
